what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1495725418830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725419670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725429951
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725429974
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1495725432230
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725433933
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725433977
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725437389
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725437434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495725447758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725448573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725457360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725458326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725501384
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1495725501399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725503219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725602295
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725602312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725609997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725612174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725613693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725616350
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725620326
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725621119
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725622688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725728414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725739989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725743562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725955089
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1495725956483
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725960608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725962424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726075824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726076488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726141697
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1495726143585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726145576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726146890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726152778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726254312
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1495726254348
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495726255431
error,log,,,"No Byte Stream Services found for Nios II Console View",1495726256211
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1495726256330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726256671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726273870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726273902
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1495726274027
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495726274258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726347851
activated,perspective,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui.debugPerspective",1495726347897
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1495726349151
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1495726349238
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495726350567
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1495726353927
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495726355255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726355999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726360337
